"Power Attack",MASTER,13+,997112
"Power Attack",INSANITY,15,999412
OCCHOCO-REST-LESS,MASTER,13,0
OCCHOCO-REST-LESS,INSANITY,14+,997227
Igallta,MASTER,14,999145
Igallta,INSANITY,15+,997147
"Distorted Fate",MASTER,15,998601
"Distorted Fate",INSANITY,15+,992019
"NO ONE YES MAN",MASTER,13,0
"NO ONE YES MAN",INSANITY,14,994624
Luminescence,MASTER,13+,0
Luminescence,INSANITY,14+,999211
Traxxendenza,MASTER,15,998579
Traxxendenza,INSANITY,16,986614
"BPM = BPM + 1",MASTER,14+,999755
"BPM = BPM + 1",INSANITY,15,999000
"Dead AND Alive!",MASTER,14+,999099
花火のための幻想曲,MASTER,14,997615
花火のための幻想曲,INSANITY,15+,995133
アイリス・アウトでさようなら,MASTER,13+,1000000
アイリス・アウトでさようなら,INSANITY,15,992614
泡沫のジェミニ,MASTER,14+,999065
望郷のオデッセイ,MASTER,13+,1000000
嵐柳,MASTER,13,998906
嵐柳,INSANITY,15+,998647
Stratostrider,MASTER,14+,998716
Stratostrider,INSANITY,16,988446
かきくけこーしょん,MASTER,14,984631
Moonstone,MASTER,14+,994522
竹,MASTER,14,999791
竹,INSANITY,15,995135
3.566×10^80m³,MASTER,15,999333
3.566×10^80m³,INSANITY,16,986881
"Unknown (ID: 261)",MASTER,,999802
"Unknown (ID: 261)",INSANITY,,993836
"Brain Power",MASTER,13+,997662
"Brain Power",INSANITY,14+,1000000
"Bright red hertz",MASTER,13+,999014
"Bright red hertz",INSANITY,15,999284
"Grayscale Tragedy",MASTER,14,998825
"HATEN CODE 583",MASTER,13+,0
"HATEN CODE 583",INSANITY,15,1000000
"Wheel of 4 Tune",MASTER,14+,999409
"Wheel of 4 Tune",INSANITY,15+,997820
"Awaken In Ruins",MASTER,13,0
"Awaken In Ruins",INSANITY,14,999841
"Cybernetic Vampire",MASTER,14,997560
"Cybernetic Vampire",INSANITY,15+,991370
"Echoes of the Forest",MASTER,14,1000000
"Unknown (ID: 293)",MASTER,,0
"Unknown (ID: 293)",INSANITY,,998601
"Unknown (ID: 298)",MASTER,,0
"Unknown (ID: 298)",INSANITY,,0
#LOOP,MASTER,14,1000000
"Unknown (ID: 323)",MASTER,,0
"Unknown (ID: 323)",INSANITY,,988131
"Unknown (ID: 324)",MASTER,,997229
"Unknown (ID: 324)",INSANITY,,996778
